Frame Number,Object ID,Object Class,Zone,Total Left ROI,Total Right ROI,Traffic Status
508,52,Car,Left Lane,3,1,Light
508,60,Car,Left Lane,3,1,Light
508,64,Car,Right Lane,3,1,Light
508,65,Car,Left Lane,3,1,Light
509,52,Car,Left Lane,3,1,Light
509,60,Car,Left Lane,3,1,Light
509,64,Car,Right Lane,3,1,Light
509,65,Car,Left Lane,3,1,Light
510,52,Car,Left Lane,3,1,Light
510,60,Car,Left Lane,3,1,Light
510,64,Car,Right Lane,3,1,Light
510,65,Car,Left Lane,3,1,Light
511,52,Car,Left Lane,3,1,Light
511,60,Car,Left Lane,3,1,Light
511,64,Car,Right Lane,3,1,Light
511,65,Car,Left Lane,3,1,Light
512,52,Car,Left Lane,3,1,Light
512,60,Car,Left Lane,3,1,Light
512,64,Car,Right Lane,3,1,Light
512,65,Car,Left Lane,3,1,Light
513,52,Car,Left Lane,3,1,Light
513,60,Car,Left Lane,3,1,Light
513,64,Car,Right Lane,3,1,Light
513,65,Car,Left Lane,3,1,Light
514,52,Car,Left Lane,3,1,Light
514,60,Car,Left Lane,3,1,Light
514,64,Car,Right Lane,3,1,Light
514,65,Car,Left Lane,3,1,Light
515,52,Car,Left Lane,4,0,Light
515,60,Car,Left Lane,4,0,Light
515,64,Car,Left Lane,4,0,Light
515,65,Car,Left Lane,4,0,Light
516,52,Car,Left Lane,4,0,Light
516,60,Car,Left Lane,4,0,Light
516,64,Car,Left Lane,4,0,Light
516,65,Car,Left Lane,4,0,Light
517,52,Car,Left Lane,3,0,Light
517,64,Car,Left Lane,3,0,Light
517,65,Car,Left Lane,3,0,Light
518,52,Car,Left Lane,4,0,Light
518,64,Car,Left Lane,4,0,Light
518,65,Car,Left Lane,4,0,Light
518,66,Car,Left Lane,4,0,Light
519,52,Car,Left Lane,3,0,Light
519,64,Car,Left Lane,3,0,Light
519,65,Car,Left Lane,3,0,Light
520,52,Car,Left Lane,4,0,Light
520,64,Car,Left Lane,4,0,Light
520,65,Car,Left Lane,4,0,Light
520,67,Car,Left Lane,4,0,Light
521,52,Car,Left Lane,3,1,Light
521,64,Car,Left Lane,3,1,Light
521,65,Car,Left Lane,3,1,Light
521,67,Car,Right Lane,3,1,Light
522,52,Car,Left Lane,3,1,Light
522,64,Car,Left Lane,3,1,Light
522,65,Car,Left Lane,3,1,Light
522,67,Car,Right Lane,3,1,Light
523,52,Car,Left Lane,3,1,Light
523,64,Car,Left Lane,3,1,Light
523,65,Car,Left Lane,3,1,Light
523,67,Car,Right Lane,3,1,Light
524,52,Car,Left Lane,3,1,Light
524,64,Car,Left Lane,3,1,Light
524,65,Car,Left Lane,3,1,Light
524,67,Car,Right Lane,3,1,Light
525,52,Car,Left Lane,4,1,Light
525,64,Car,Left Lane,4,1,Light
525,65,Car,Left Lane,4,1,Light
525,67,Car,Right Lane,4,1,Light
525,68,Car,Left Lane,4,1,Light
526,52,Car,Left Lane,3,1,Light
526,64,Car,Left Lane,3,1,Light
526,65,Car,Left Lane,3,1,Light
526,67,Car,Right Lane,3,1,Light
527,52,Car,Left Lane,3,1,Light
527,64,Car,Left Lane,3,1,Light
527,65,Car,Left Lane,3,1,Light
527,67,Car,Right Lane,3,1,Light
528,52,Car,Left Lane,4,1,Light
528,64,Car,Left Lane,4,1,Light
528,65,Car,Left Lane,4,1,Light
528,67,Car,Right Lane,4,1,Light
528,69,Car,Left Lane,4,1,Light
529,52,Car,Left Lane,4,1,Light
529,64,Car,Left Lane,4,1,Light
529,65,Car,Left Lane,4,1,Light
529,67,Car,Right Lane,4,1,Light
529,69,Car,Left Lane,4,1,Light
530,52,Car,Left Lane,4,1,Light
530,64,Car,Left Lane,4,1,Light
530,65,Car,Left Lane,4,1,Light
530,67,Car,Right Lane,4,1,Light
530,69,Car,Left Lane,4,1,Light
531,52,Car,Left Lane,5,2,Moderate
531,64,Car,Left Lane,5,2,Moderate
531,65,Car,Left Lane,5,2,Moderate
531,67,Car,Right Lane,5,2,Moderate
531,69,Car,Left Lane,5,2,Moderate
531,70,Car,Left Lane,5,2,Moderate
531,71,Car,Right Lane,5,2,Moderate
532,52,Car,Left Lane,5,2,Moderate
532,64,Car,Left Lane,5,2,Moderate
532,65,Car,Left Lane,5,2,Moderate
532,67,Car,Right Lane,5,2,Moderate
532,69,Car,Left Lane,5,2,Moderate
532,70,Car,Left Lane,5,2,Moderate
532,71,Car,Right Lane,5,2,Moderate
533,52,Car,Left Lane,5,1,Moderate
533,64,Car,Left Lane,5,1,Moderate
533,65,Car,Left Lane,5,1,Moderate
533,67,Car,Right Lane,5,1,Moderate
533,69,Car,Left Lane,5,1,Moderate
533,70,Car,Left Lane,5,1,Moderate
534,52,Car,Left Lane,5,2,Moderate
534,64,Car,Left Lane,5,2,Moderate
534,65,Car,Left Lane,5,2,Moderate
534,67,Car,Right Lane,5,2,Moderate
534,69,Car,Left Lane,5,2,Moderate
534,70,Car,Left Lane,5,2,Moderate
534,72,Car,Right Lane,5,2,Moderate
535,52,Car,Left Lane,5,1,Moderate
535,64,Car,Left Lane,5,1,Moderate
535,65,Car,Left Lane,5,1,Moderate
535,67,Car,Right Lane,5,1,Moderate
535,69,Car,Left Lane,5,1,Moderate
535,70,Car,Left Lane,5,1,Moderate
536,52,Car,Left Lane,5,1,Moderate
536,64,Car,Left Lane,5,1,Moderate
536,65,Car,Left Lane,5,1,Moderate
536,67,Car,Right Lane,5,1,Moderate
536,69,Car,Left Lane,5,1,Moderate
536,70,Car,Left Lane,5,1,Moderate
537,52,Car,Left Lane,5,2,Moderate
537,64,Car,Left Lane,5,2,Moderate
537,65,Car,Left Lane,5,2,Moderate
537,67,Car,Right Lane,5,2,Moderate
537,69,Car,Left Lane,5,2,Moderate
537,70,Car,Left Lane,5,2,Moderate
537,73,Car,Right Lane,5,2,Moderate
538,52,Car,Left Lane,5,2,Moderate
538,64,Car,Left Lane,5,2,Moderate
538,65,Car,Left Lane,5,2,Moderate
538,67,Car,Right Lane,5,2,Moderate
538,69,Car,Left Lane,5,2,Moderate
538,70,Car,Left Lane,5,2,Moderate
538,73,Car,Right Lane,5,2,Moderate
539,52,Car,Left Lane,4,2,Moderate
539,64,Car,Right Lane,4,2,Moderate
539,65,Car,Left Lane,4,2,Moderate
539,67,Car,Right Lane,4,2,Moderate
539,69,Car,Left Lane,4,2,Moderate
539,70,Car,Left Lane,4,2,Moderate
540,52,Car,Left Lane,4,2,Moderate
540,64,Car,Right Lane,4,2,Moderate
540,65,Car,Left Lane,4,2,Moderate
